layer,position_group,mean,ci_low,ci_high,n_pairs
30,unrelated_prefix_negative_control,0.0,0.0,0.0,16
31,all_prompt_positions_oracle,1.0,1.0,1.0,16
31,except_subject,0.899436764507683,0.8679992305277549,0.9287964336099161,16
31,final_token,0.7973590371829452,0.7631578958042902,0.8300976408867532,16
31,first_role,0.003990629694168049,0.00017643171603300926,0.007709969487352855,16
31,post_subject_excluding_final,0.10662486316901805,0.08646775910281154,0.1298963744219778,16
31,post_subject_including_final,0.899436764507683,0.8651624602485125,0.9267868924318633,16
31,second_role,0.01904793012990859,0.013664778305960619,0.02534282147173049,16
31,subject_span,0.100563235492317,0.06892903202175217,0.1305496382548617,16
31,unrelated_prefix_negative_control,0.0,0.0,0.0,16
32,all_prompt_positions_oracle,1.0,1.0,1.0,16
32,except_subject,0.9127824182627574,0.8826491273351323,0.9342065131066248,16
32,final_token,0.8140982569326094,0.7888109839922701,0.8357627605082132,16
32,first_role,0.004668338171364921,0.0007143487221889064,0.008362905931143829,16
32,post_subject_excluding_final,0.10267868886319935,0.08317774428222814,0.12395196943720016,16
32,post_subject_including_final,0.9127824182627574,0.8850240959351526,0.9341626286312358,16
32,second_role,0.02013391139741559,0.01627437677584003,0.02469569104839586,16
32,subject_span,0.08721758173724253,0.0668177568467146,0.11062961445004323,16
32,unrelated_prefix_negative_control,0.0,0.0,0.0,16
33,all_prompt_positions_oracle,1.0,1.0,1.0,16
33,except_subject,0.9196798276326725,0.9030556839398698,0.9354543505587336,16
33,final_token,0.8318969328475867,0.8136455363595176,0.8506771997958473,16
33,first_role,0.0037745977685773,-0.000288513830964885,0.00760662631542449,16
33,post_subject_excluding_final,0.0870409368613328,0.07228538764517237,0.10274845322055111,16
33,post_subject_including_final,0.9196798276326725,0.9046398552445131,0.9360068717993253,16
33,second_role,0.015707234370410782,0.011793942314070494,0.019382754437522506,16
33,subject_span,0.08032017236732746,0.0646159018079764,0.0957671709611947,16
33,unrelated_prefix_negative_control,0.0,0.0,0.0,16
34,all_prompt_positions_oracle,1.0,1.0,1.0,16
34,except_subject,0.9988876740366965,0.9950017080857888,1.00281176868008,16
34,final_token,0.9332503000752556,0.9207545125631773,0.9473852250874863,16
34,first_role,0.0018881616208423439,0.0,0.003995147255689425,16
34,post_subject_excluding_final,0.06967014342542062,0.056491686945010125,0.08349418846786741,16
34,post_subject_including_final,0.9988876740366965,0.9953632539581925,1.0025282338150778,16
34,second_role,0.018334056333170246,0.01411714127166931,0.022819915225705666,16
34,subject_span,0.0011123259633034662,-0.002671515804597701,0.00495615214439962,16
34,unrelated_prefix_negative_control,0.0,0.0,0.0,16
35,all_prompt_positions_oracle,1.0,1.0,1.0,16
35,except_subject,1.0,1.0,1.0,16
35,final_token,1.0,1.0,1.0,16
