placement,filler_family,target_added_tokens,actual_added_tokens,pair_id,unordered_pair_id,donor_entity,recipient_entity,role,P_subject,P_readout,subject_to_readout_distance,stable_crossover_layer,steepest_subject_decline_layer,steepest_subject_decline,steepest_readout_increase_layer,steepest_readout_increase,strongest_attention_transfer_layer,strongest_attention_transfer_effect,subject_recovery_auc,readout_recovery_auc,post_subject_recovery_auc,intermediate_recovery_auc,intermediate_peak_recovery,intermediate_peak_layer
gap,cards,128,126,scientist_Newton_into_Darwin,scientist_Darwin_Newton,Newton,Darwin,scientist,[2],136,134,33.0,34,-0.3529411764705882,34,0.426470588235294,34,0.4558823529411765,29.75735294117647,3.632352941176471,6.514705882352939,2.941176470588234,0.1617647058823529,26
gap,cards,128,126,scientist_Newton_into_Einstein,scientist_Einstein_Newton,Newton,Einstein,scientist,[2],136,134,34.0,34,-0.34,34,0.5800000000000001,34,0.45999999999999996,26.85,2.49,2.91,0.37,0.12,33
gap,cards,128,126,writer_Dickens_into_Shakespeare,writer_Dickens_Shakespeare,Dickens,Shakespeare,writer,[2],136,134,33.0,34,-0.4492753623188405,34,0.43478260869565216,34,0.4202898550724638,30.58695652173913,3.4927536231884053,5.057971014492753,0.9782608695652172,0.072463768115942,22
gap,cards,128,126,writer_Shakespeare_into_Dickens,writer_Dickens_Shakespeare,Shakespeare,Dickens,writer,[2],136,134,33.0,34,-0.4492753623188406,34,0.4347826086956522,34,0.44202898550724634,30.086956521739133,3.36231884057971,4.514492753623188,1.4637681159420284,0.1014492753623188,28
gap,meadow,0,0,city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,[2],10,8,24.0,24,-0.4819277108433735,24,0.4216867469879519,24,0.30722891566265054,22.801204819277107,9.03012048192771,13.740963855421684,4.614457831325301,0.2409638554216867,24
gap,meadow,0,0,city_Tokyo_into_Paris,city_Paris_Tokyo,Tokyo,Paris,city,[2],10,8,24.0,24,-0.4457831325301206,24,0.2891566265060241,24,0.31325301204819284,21.343373493975903,8.746987951807228,12.180722891566266,3.054216867469878,0.1927710843373494,25
gap,meadow,0,0,company_Apple_into_Google,company_Apple_Google,Apple,Google,company,[2],10,8,25.0,24,-0.28,24,0.26,24,0.19999999999999998,21.41,6.55,11.82,4.36,0.32,26
gap,meadow,0,0,company_Google_into_Apple,company_Apple_Google,Google,Apple,company,[2],10,8,24.0,24,-0.32000000000000006,24,0.24,24,0.21000000000000002,23.23,7.68,13.700000000000001,5.74,0.34,26
gap,meadow,0,0,composer_Bach_into_Mozart,composer_Bach_Mozart,Bach,Mozart,composer,[2],10,8,26.0,26,-0.2678571428571429,26,0.2500000000000001,26,0.21428571428571425,26.705357142857142,7.767857142857143,10.089285714285714,2.1874999999999982,0.1964285714285714,26
gap,meadow,0,0,composer_Mozart_into_Bach,composer_Bach_Mozart,Mozart,Bach,composer,[2],10,8,26.0,26,-0.2857142857142857,26,0.25,26,0.2321428571428571,24.857142857142858,6.321428571428572,8.303571428571429,1.8749999999999991,0.2321428571428571,26
gap,meadow,0,0,country_France_into_Japan,country_France_Japan,France,Japan,country,[2],10,8,24.0,24,-0.5,24,0.28409090909090917,24,0.26136363636363635,23.426136363636367,8.02840909090909,11.551136363636365,3.301136363636362,0.25,26
gap,meadow,0,0,country_Japan_into_France,country_France_Japan,Japan,France,country,[2],10,8,24.0,24,-0.48863636363636365,24,0.36363636363636376,24,0.24999999999999997,23.38068181818182,8.352272727272727,11.647727272727273,3.249999999999999,0.25,26
gap,meadow,0,0,scientist_Darwin_into_Einstein,scientist_Darwin_Einstein,Darwin,Einstein,scientist,[2],10,8,26.0,24,-0.3173076923076924,26,0.2884615384615385,24,0.2211538461538461,21.40865384615384,4.966346153846155,6.120192307692308,1.0480769230769225,0.1923076923076923,26
gap,meadow,0,0,scientist_Darwin_into_Newton,scientist_Darwin_Newton,Darwin,Newton,scientist,[2],10,8,26.0,24,-0.19130434782608696,26,0.24347826086956528,26,0.17826086956521733,21.63913043478261,5.526086956521739,8.469565217391304,1.5608695652173907,0.1826086956521739,26
gap,meadow,0,0,scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,Einstein,Darwin,scientist,[2],10,8,26.0,24,-0.3076923076923077,24,0.2788461538461539,26,0.1538461538461538,29.000000000000007,10.163461538461537,13.490384615384615,3.1874999999999987,0.25,26
gap,meadow,0,0,scientist_Einstein_into_Newton,scientist_Einstein_Newton,Einstein,Newton,scientist,[2],10,8,24.0,24,-0.4057971014492754,24,0.24637681159420294,24,0.26086956521739135,25.188405797101446,11.326086956521737,15.079710144927537,3.2898550724637667,0.1884057971014492,25
