placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,64,68,29,combined_attention_effect,0.0353408987330187,0.034168742216687406,0.010289831653377235,0.029632863488693116,0.04114670371870835,16,8,20260716,2000
gap,cards,64,68,30,combined_attention_effect,0.042122132900258166,0.03498043052837573,0.024444100023085,0.027300419838641458,0.05715660865797152,16,8,20260716,2000
gap,cards,64,68,31,combined_attention_effect,0.14505531690763568,0.09280303030303029,0.09657361382497433,0.08729797428839955,0.2118854696467331,16,8,20260716,2000
gap,cards,64,68,32,combined_attention_effect,0.06218584778094949,0.05012531328320802,0.04658904394796361,0.035999732702118904,0.09659616633977564,16,8,20260716,2000
gap,cards,64,68,33,combined_attention_effect,0.08032572123649696,0.06374533001245328,0.05435084776689009,0.04505008645105446,0.11540849501375813,16,8,20260716,2000
gap,cards,64,68,34,combined_attention_effect,0.290901673158336,0.29166666666666663,0.097549158416263,0.2239254553572714,0.35428337133102844,16,8,20260716,2000
gap,cards,64,68,35,combined_attention_effect,0.13169510041694749,0.127016129032258,0.03772018388981382,0.1067321773154876,0.1575742100060871,16,8,20260716,2000
gap,cards,128,126,0,combined_attention_effect,0.0001024005128321254,2.0383000842727483e-17,0.0072624974110477225,-0.003471176628574894,0.0037646843600002513,16,8,20260716,2000
gap,cards,128,126,1,combined_attention_effect,0.0015314968152259586,4.9873299934333204e-17,0.007311188109585952,-0.002606424133523295,0.004229480400569833,16,8,20260716,2000
gap,cards,128,126,2,combined_attention_effect,0.00067340593038333,0.0,0.009224987012127652,-0.002074213001072608,0.0031714935188323578,16,8,20260716,2000
gap,cards,128,126,3,combined_attention_effect,-0.001626788402682022,0.0,0.006507443442727655,-0.005014163089398826,0.001101895620760562,16,8,20260716,2000
gap,cards,128,126,4,combined_attention_effect,-0.000682104534404803,0.0,0.009140700974949695,-0.00517336239214563,0.003388039033329075,16,8,20260716,2000
gap,cards,128,126,5,combined_attention_effect,0.0023688106802452723,3.382710778154774e-17,0.007726430014748314,-0.001290835991493906,0.006158090028348167,16,8,20260716,2000
gap,cards,128,126,6,combined_attention_effect,0.0004179211148535838,9.540979117872439e-18,0.007318613887156246,-0.001458811436221074,0.0021458441421187153,16,8,20260716,2000
gap,cards,128,126,7,combined_attention_effect,-0.0010957025892567305,0.0,0.007724103666487626,-0.003532728124108356,0.0012617168277854404,16,8,20260716,2000
gap,cards,128,126,8,combined_attention_effect,0.001563779056423786,0.0,0.010747768958830027,-0.0030126316026809503,0.006006073460037733,16,8,20260716,2000
gap,cards,128,126,9,combined_attention_effect,-0.0007152419200611859,0.0,0.006517644897641819,-0.002807563587684085,0.0016340361445783302,16,8,20260716,2000
gap,cards,128,126,10,combined_attention_effect,-0.0012201554544468926,0.0,0.0063778731035969375,-0.00438764013259541,0.001775770708232913,16,8,20260716,2000
gap,cards,128,126,11,combined_attention_effect,6.938059422761152e-06,0.0027777777777777775,0.009870830999235976,-0.005407412663920803,0.004598217431128012,16,8,20260716,2000
gap,cards,128,126,12,combined_attention_effect,0.000367852734217166,0.0,0.008941872797882265,-0.004493385964557751,0.0048845693457391535,16,8,20260716,2000
gap,cards,128,126,13,combined_attention_effect,-0.0014682226508737385,0.0,0.008156214563100107,-0.006082305412124693,0.0023923545057422686,16,8,20260716,2000
gap,cards,128,126,14,combined_attention_effect,0.0011912654326298668,0.0,0.009630634588486526,-0.004697215060266541,0.005957216814829656,16,8,20260716,2000
gap,cards,128,126,15,combined_attention_effect,-0.0017553807756866585,0.0,0.007395406941388148,-0.004582351845243674,0.001441348397542736,16,8,20260716,2000
