placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
prefix,cards,64,68,strongest_attention_transfer_layer,28.0,26.0,4.09878030638384,25.25,30.5,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,cards,128,126,strongest_attention_transfer_layer,25.5,24.0,2.3380903889000244,24.25,27.25,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,meadow,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,meadow,8,8,strongest_attention_transfer_layer,32.0625,32.5,2.5157835094989127,30.4375,33.375,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,meadow,32,35,strongest_attention_transfer_layer,25.5,24.0,3.3862466931200785,24.0,28.0,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,meadow,64,69,strongest_attention_transfer_layer,26.75,24.0,4.374166587286466,24.25,30.25,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,meadow,128,125,strongest_attention_transfer_layer,24.625,24.0,0.9574271077563381,24.125,25.25,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,room,0,0,strongest_attention_transfer_layer,24.875,24.0,1.02469507659596,24.25,25.5,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,room,8,8,strongest_attention_transfer_layer,28.875,29.0,3.442382895611701,26.625,31.125,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,room,32,28,strongest_attention_transfer_layer,29.0,31.0,3.966526608171604,26.5,31.375,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,room,64,66,strongest_attention_transfer_layer,25.0,25.0,1.0327955589886444,24.25,25.75,16,8,20260716,2000,strongest_attention_transfer_layer
prefix,room,128,127,strongest_attention_transfer_layer,28.1875,29.0,2.5876308340513594,26.4359375,29.75,16,8,20260716,2000,strongest_attention_transfer_layer
gap,cards,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
gap,cards,8,10,strongest_attention_transfer_effect,0.20480665168505444,0.19876543209876538,0.0498989892579744,0.1756316015566738,0.2414131691807576,16,8,20260716,2000,strongest_attention_transfer_effect
gap,cards,32,29,strongest_attention_transfer_effect,0.29467757270657835,0.2860218140068886,0.07162391048698996,0.2505328586425901,0.3442346233577637,16,8,20260716,2000,strongest_attention_transfer_effect
gap,cards,64,68,strongest_attention_transfer_effect,0.32130241332625464,0.3344748858447488,0.06803558181446406,0.27728967940661486,0.36653724492829154,16,8,20260716,2000,strongest_attention_transfer_effect
gap,cards,128,126,strongest_attention_transfer_effect,0.3900857185540283,0.4197037510656436,0.08016508262942547,0.3352071139851042,0.44221996753246745,16,8,20260716,2000,strongest_attention_transfer_effect
gap,meadow,0,0,strongest_attention_transfer_effect,0.23050298038923056,0.21995192307692304,0.04382958408410006,0.2050317028985507,0.25851907075781594,16,8,20260716,2000,strongest_attention_transfer_effect
gap,meadow,8,8,strongest_attention_transfer_effect,0.24258366001319792,0.23214285714285712,0.06850881659578988,0.2066791321981171,0.2932819729298608,16,8,20260716,2000,strongest_attention_transfer_effect
gap,meadow,32,35,strongest_attention_transfer_effect,0.28898471045008023,0.2607996323529411,0.07175166219647569,0.2454152277843064,0.3428825278151135,16,8,20260716,2000,strongest_attention_transfer_effect
gap,meadow,64,69,strongest_attention_transfer_effect,0.3041787590495658,0.2886257763975155,0.06649208809731327,0.2643817245649142,0.3522317566984686,16,8,20260716,2000,strongest_attention_transfer_effect
